timestamp,timestamp_ms,method,scenario,est_x,est_y,gt_x,gt_y,error_m,raw_error_m,is_outlier
2026-04-01T21:22:31.890Z,1775078551890,rssi,Tag in the middle - C3,6.0800,2.9800,4.8000,4.7700,2.2006,2.2006,0
2026-04-01T21:22:33.660Z,1775078553660,rssi,Tag in the middle - C3,6.8400,1.8700,4.8000,4.7700,3.5456,3.5456,0
2026-04-01T21:22:34.449Z,1775078554449,raw,Tag in the middle - C3,6.0800,2.9800,4.8000,4.7700,2.2006,2.2006,0
2026-04-01T21:22:35.041Z,1775078555041,raw,Tag in the middle - C3,6.7400,1.9700,4.8000,4.7700,3.4064,3.4064,0
2026-04-01T21:22:35.637Z,1775078555637,kalman,Tag in the middle - C3,6.1000,2.9500,4.8000,4.7700,2.2366,2.2366,0
2026-04-01T21:22:36.220Z,1775078556220,kalman,Tag in the middle - C3,6.7700,1.9400,4.8000,4.7700,3.4482,3.4482,0
2026-04-01T21:22:36.795Z,1775078556795,fp,Tag in the middle - C3,4.3050,8.9415,4.8000,4.7700,4.2008,4.2008,0
2026-04-01T21:22:37.357Z,1775078557357,gp,Tag in the middle - C3,3.0500,6.3300,4.8000,4.7700,2.3444,2.3444,0
2026-04-01T21:22:37.925Z,1775078557925,rssi,Tag in the middle - C3,6.2600,2.7800,4.8000,4.7700,2.4681,2.4681,0
2026-04-01T21:22:38.493Z,1775078558493,rssi,Tag in the middle - C3,6.8400,1.8700,4.8000,4.7700,3.5456,3.5456,0
2026-04-01T21:22:39.068Z,1775078559068,raw,Tag in the middle - C3,6.0800,2.9800,4.8000,4.7700,2.2006,2.2006,0
2026-04-01T21:22:39.653Z,1775078559653,raw,Tag in the middle - C3,6.7400,1.9700,4.8000,4.7700,3.4064,3.4064,0
2026-04-01T21:22:40.440Z,1775078560440,kalman,Tag in the middle - C3,6.0900,2.9600,4.8000,4.7700,2.2227,2.2227,0
2026-04-01T21:22:41.202Z,1775078561202,kalman,Tag in the middle - C3,6.7600,1.9600,4.8000,4.7700,3.4260,3.4260,0
2026-04-01T21:22:41.964Z,1775078561964,fp,Tag in the middle - C3,4.3050,8.9415,4.8000,4.7700,4.2008,4.2008,0
2026-04-01T21:22:42.752Z,1775078562752,gp,Tag in the middle - C3,3.0500,6.3300,4.8000,4.7700,2.3444,2.3444,0
2026-04-01T21:23:52.447Z,1775078632447,rssi,Tag in the middle - C3,5.8200,2.8500,4.8000,4.7700,2.1741,2.1741,0
2026-04-01T21:23:53.040Z,1775078633040,rssi,Tag in the middle - C3,6.4800,2.0000,4.8000,4.7700,3.2396,3.2396,0
2026-04-01T21:23:53.624Z,1775078633624,raw,Tag in the middle - C3,5.8200,2.8500,4.8000,4.7700,2.1741,2.1741,0
2026-04-01T21:23:54.195Z,1775078634195,raw,Tag in the middle - C3,6.4300,1.8800,4.8000,4.7700,3.3180,3.3180,0
2026-04-01T21:23:54.782Z,1775078634782,kalman,Tag in the middle - C3,5.8900,2.9300,4.8000,4.7700,2.1386,2.1386,0
2026-04-01T21:23:55.371Z,1775078635371,kalman,Tag in the middle - C3,6.5300,1.9500,4.8000,4.7700,3.3084,3.3084,0
2026-04-01T21:23:55.964Z,1775078635964,fp,Tag in the middle - C3,4.3050,4.9675,4.8000,4.7700,0.5329,0.5329,0
2026-04-01T21:23:56.539Z,1775078636539,gp,Tag in the middle - C3,2.6900,5.8100,4.8000,4.7700,2.3524,2.3524,0
2026-04-01T21:23:57.104Z,1775078637104,rssi,Tag in the middle - C3,5.8700,3.1000,4.8000,4.7700,1.9834,1.9834,0
2026-04-01T21:23:57.673Z,1775078637673,rssi,Tag in the middle - C3,6.4800,2.0000,4.8000,4.7700,3.2396,3.2396,0
2026-04-01T21:23:58.254Z,1775078638254,raw,Tag in the middle - C3,5.8200,2.8500,4.8000,4.7700,2.1741,2.1741,0
2026-04-01T21:23:58.837Z,1775078638837,raw,Tag in the middle - C3,6.4300,1.8800,4.8000,4.7700,3.3180,3.3180,0
2026-04-01T21:23:59.428Z,1775078639428,kalman,Tag in the middle - C3,5.8600,2.9000,4.8000,4.7700,2.1495,2.1495,0
2026-04-01T21:24:00.002Z,1775078640002,kalman,Tag in the middle - C3,6.4900,1.9300,4.8000,4.7700,3.3048,3.3048,0
2026-04-01T21:24:00.568Z,1775078640568,fp,Tag in the middle - C3,4.3050,4.9675,4.8000,4.7700,0.5329,0.5329,0
2026-04-01T21:24:01.126Z,1775078641126,gp,Tag in the middle - C3,2.6900,5.8100,4.8000,4.7700,2.3524,2.3524,0
2026-04-01T21:25:33.894Z,1775078733894,rssi,Tag in the middle - C3,5.2500,2.2800,4.8000,4.7700,2.5303,2.5303,0
2026-04-01T21:25:34.483Z,1775078734483,rssi,Tag in the middle - C3,5.9800,1.4800,4.8000,4.7700,3.4952,3.4952,0
2026-04-01T21:25:35.076Z,1775078735076,raw,Tag in the middle - C3,5.5800,2.3600,4.8000,4.7700,2.5331,2.5331,0
2026-04-01T21:25:35.645Z,1775078735645,raw,Tag in the middle - C3,6.0900,1.4600,4.8000,4.7700,3.5525,3.5525,0
2026-04-01T21:25:36.221Z,1775078736221,kalman,Tag in the middle - C3,5.6100,2.4500,4.8000,4.7700,2.4573,2.4573,0
2026-04-01T21:25:36.808Z,1775078736808,kalman,Tag in the middle - C3,6.1500,1.5300,4.8000,4.7700,3.5100,3.5100,0
2026-04-01T21:25:37.385Z,1775078737385,fp,Tag in the middle - C3,2.5860,4.9675,4.8000,4.7700,2.2228,2.2228,0
2026-04-01T21:25:37.966Z,1775078737966,gp,Tag in the middle - C3,2.2200,5.5300,4.8000,4.7700,2.6896,2.6896,0
2026-04-01T21:25:38.557Z,1775078738557,rssi,Tag in the middle - C3,5.7100,2.4800,4.8000,4.7700,2.4642,2.4642,0
2026-04-01T21:25:39.145Z,1775078739145,rssi,Tag in the middle - C3,6.1800,1.5100,4.8000,4.7700,3.5401,3.5401,0
2026-04-01T21:25:39.694Z,1775078739694,raw,Tag in the middle - C3,5.5800,2.3600,4.8000,4.7700,2.5331,2.5331,0
2026-04-01T21:25:40.289Z,1775078740289,raw,Tag in the middle - C3,6.0900,1.4600,4.8000,4.7700,3.5525,3.5525,0
2026-04-01T21:25:40.849Z,1775078740849,kalman,Tag in the middle - C3,5.6000,2.4200,4.8000,4.7700,2.4824,2.4824,0
2026-04-01T21:25:41.433Z,1775078741433,kalman,Tag in the middle - C3,6.1300,1.5000,4.8000,4.7700,3.5301,3.5301,0
2026-04-01T21:25:42.022Z,1775078742022,fp,Tag in the middle - C3,2.5860,4.9675,4.8000,4.7700,2.2228,2.2228,0
2026-04-01T21:25:42.590Z,1775078742590,gp,Tag in the middle - C3,2.2200,5.5300,4.8000,4.7700,2.6896,2.6896,0
2026-04-01T21:27:15.330Z,1775078835330,rssi,Tag in the middle - C3,6.0800,3.0100,4.8000,4.7700,2.1762,2.1762,0
2026-04-01T21:27:15.918Z,1775078835918,rssi,Tag in the middle - C3,6.7800,1.9600,4.8000,4.7700,3.4375,3.4375,0
2026-04-01T21:27:16.495Z,1775078836495,raw,Tag in the middle - C3,5.9000,3.2500,4.8000,4.7700,1.8763,1.8763,0
2026-04-01T21:27:17.049Z,1775078837049,raw,Tag in the middle - C3,6.5400,2.2600,4.8000,4.7700,3.0541,3.0541,0
2026-04-01T21:27:17.617Z,1775078837617,kalman,Tag in the middle - C3,5.9600,3.0200,4.8000,4.7700,2.0995,2.0995,0
2026-04-01T21:27:18.198Z,1775078838198,kalman,Tag in the middle - C3,6.6000,2.0300,4.8000,4.7700,3.2784,3.2784,0
2026-04-01T21:27:18.756Z,1775078838756,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:27:19.317Z,1775078839317,gp,Tag in the middle - C3,3.0600,5.8400,4.8000,4.7700,2.0427,2.0427,0
2026-04-01T21:27:19.876Z,1775078839876,rssi,Tag in the middle - C3,6.1600,2.9400,4.8000,4.7700,2.2800,2.2800,0
2026-04-01T21:27:20.466Z,1775078840466,rssi,Tag in the middle - C3,6.6800,2.0900,4.8000,4.7700,3.2737,3.2737,0
2026-04-01T21:27:21.054Z,1775078841054,raw,Tag in the middle - C3,5.9000,3.2500,4.8000,4.7700,1.8763,1.8763,0
2026-04-01T21:27:21.643Z,1775078841643,raw,Tag in the middle - C3,6.5400,2.2600,4.8000,4.7700,3.0541,3.0541,0
2026-04-01T21:27:22.202Z,1775078842202,kalman,Tag in the middle - C3,5.9400,3.1100,4.8000,4.7700,2.0138,2.0138,0
2026-04-01T21:27:22.759Z,1775078842759,kalman,Tag in the middle - C3,6.5800,2.1200,4.8000,4.7700,3.1923,3.1923,0
2026-04-01T21:27:23.346Z,1775078843346,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:27:23.974Z,1775078843974,gp,Tag in the middle - C3,3.0600,5.8400,4.8000,4.7700,2.0427,2.0427,0
2026-04-01T21:28:33.725Z,1775078913725,rssi,Tag in the middle - C3,5.4900,3.8600,4.8000,4.7700,1.1420,1.1420,0
2026-04-01T21:28:34.345Z,1775078914345,rssi,Tag in the middle - C3,6.2200,2.8600,4.8000,4.7700,2.3800,2.3800,0
2026-04-01T21:28:34.974Z,1775078914974,raw,Tag in the middle - C3,5.4900,3.8600,4.8000,4.7700,1.1420,1.1420,0
2026-04-01T21:28:35.596Z,1775078915596,raw,Tag in the middle - C3,6.0600,2.9600,4.8000,4.7700,2.2054,2.2054,0
2026-04-01T21:28:36.178Z,1775078916178,kalman,Tag in the middle - C3,5.6600,3.6400,4.8000,4.7700,1.4200,1.4200,0
2026-04-01T21:28:36.744Z,1775078916744,kalman,Tag in the middle - C3,6.2600,2.6900,4.8000,4.7700,2.5413,2.5413,0
2026-04-01T21:28:37.316Z,1775078917316,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:28:37.898Z,1775078917898,gp,Tag in the middle - C3,3.3500,4.9700,4.8000,4.7700,1.4637,1.4637,0
2026-04-01T21:28:38.469Z,1775078918469,rssi,Tag in the middle - C3,5.7500,3.7200,4.8000,4.7700,1.4160,1.4160,0
2026-04-01T21:28:39.239Z,1775078919239,rssi,Tag in the middle - C3,6.2200,2.8600,4.8000,4.7700,2.3800,2.3800,0
2026-04-01T21:28:40.009Z,1775078920009,raw,Tag in the middle - C3,5.4900,3.8600,4.8000,4.7700,1.1420,1.1420,0
2026-04-01T21:28:40.590Z,1775078920590,raw,Tag in the middle - C3,6.0600,2.9600,4.8000,4.7700,2.2054,2.2054,0
2026-04-01T21:28:41.158Z,1775078921158,kalman,Tag in the middle - C3,5.6000,3.7300,4.8000,4.7700,1.3121,1.3121,0
2026-04-01T21:28:41.741Z,1775078921741,kalman,Tag in the middle - C3,6.1800,2.7900,4.8000,4.7700,2.4135,2.4135,0
2026-04-01T21:28:42.316Z,1775078922316,fp,Tag in the middle - C3,4.3050,6.9545,4.8000,4.7700,2.2399,2.2399,0
2026-04-01T21:28:42.894Z,1775078922894,gp,Tag in the middle - C3,3.3500,4.9700,4.8000,4.7700,1.4637,1.4637,0
